test case,benchmark name,samples,iterations,estimated,mean,low mean,high mean,std dev,low std dev,high std dev,tags,raw
benchmark intrusive graph dependency handling with N nodes - 1,creating nodes,100,5535,2214000,4.4943,4.4796,4.5319,0.1047,0.0049,0.1943,"benchmark,group:graph-nodes","4.4817,4.4797,4.4869,4.4815,4.4797,4.4815,4.4688,4.4799,4.4815,4.4815,4.4797,4.4815,4.4815,4.4688,4.4797,4.4799,4.4797,4.4815,4.4815,4.4815,4.4688,4.4797,4.4815,4.4797,4.4815,4.4797,5.3160,4.4815,4.4688,4.4833,4.4815,4.4815,4.4833,4.4833,4.4815,4.4670,4.4833,4.4815,4.4815,4.4815,4.4815,4.4833,4.4670,4.4833,4.4833,4.4835,4.4833,4.4815,4.4815,4.4670,4.4833,4.4797,4.4835,4.4815,4.4815,4.4833,4.4670,4.4815,4.4833,4.4833,4.4815,4.4815,4.4833,4.4688,4.4815,4.4815,5.1241,4.4815,4.4815,4.4797,4.4815,4.4670,4.4797,4.4815,4.4797,4.4797,4.4817,4.4761,4.4706,4.4815,4.4797,4.4797,4.4815,4.4797,4.4724,4.4743,4.4815,4.4815,4.4815,4.4815,4.4815,4.4670,4.4797,4.4815,4.4815,4.4815,4.4797,4.4815,4.4688,4.4815"
benchmark intrusive graph dependency handling with N nodes - 1,creating and adding dependencies,100,1117,2457400,20.9417,20.7215,21.8260,1.8674,0.0876,4.3418,"benchmark,group:graph-nodes","20.7896,20.8353,20.8711,20.6822,20.5649,20.8075,20.6813,20.7905,20.6455,20.7269,20.7359,20.6553,20.7180,20.8165,20.7538,20.7359,20.6097,20.6464,20.6195,20.6553,20.8254,20.6106,20.6732,20.7180,20.7180,25.3554,20.7628,20.7180,20.6553,20.8433,20.6106,20.7717,20.6007,20.6007,20.6016,20.6106,20.5380,20.8174,20.6186,20.6822,20.6822,20.6732,20.6016,20.5748,20.5560,20.7986,20.6822,20.7807,20.7905,20.6813,20.8254,20.6553,20.6097,20.5927,20.7628,20.7269,20.7180,20.6911,20.8254,20.7717,20.7269,20.7269,20.6544,20.7180,20.8084,20.7180,20.7090,20.5291,38.9266,20.8344,20.7090,20.7090,20.8344,20.6464,20.8344,20.6553,20.7717,20.7180,20.7628,20.8263,20.7180,20.7717,20.6276,20.8344,20.7628,20.7807,20.8075,20.7449,20.8344,20.5291,20.7090,20.7180,20.7269,20.7717,20.6374,20.7269,20.6553,20.8344,20.8075,20.6822"
benchmark intrusive graph dependency handling with N nodes - 1,adding and removing dependencies,100,1577,2365500,15.5216,15.4788,15.6290,0.3018,0.0121,0.5507,"benchmark,group:graph-nodes","15.4819,15.4559,15.5067,15.4756,15.4496,15.4813,15.4819,15.4876,15.4756,15.4876,15.4496,15.4819,15.4876,15.4756,15.4813,15.4750,15.4756,15.4623,15.4819,15.4813,15.4876,15.4819,15.4876,15.4502,15.4813,15.4876,15.4883,15.4750,15.4883,17.6798,15.4496,15.4813,15.4819,15.4876,15.4819,15.4876,15.4559,15.4819,15.4876,15.4756,15.4813,15.4813,15.4876,15.4496,15.4819,15.4876,15.4813,15.4813,15.4876,15.4566,15.4876,15.4819,15.4813,15.4876,15.4756,15.4623,15.4756,15.4813,15.4813,15.4883,15.4813,15.4883,15.4559,15.4813,15.4819,15.4876,15.4756,15.4813,15.4559,15.4819,17.5840,15.4750,15.4876,15.4883,15.4876,15.4559,15.4876,15.4813,15.4819,15.4813,15.4819,15.4813,15.4496,15.4883,15.4813,15.4883,15.4750,15.4813,15.4566,15.4813,15.4883,15.4940,15.4876,15.4883,15.4496,15.4883,15.4813,15.4813,15.4750,15.4876"
benchmark intrusive graph dependency handling with N nodes - 1,checking for dependencies,100,18519,1851900,1.2134,1.2074,1.2287,0.0425,0.0004,0.0769,"benchmark,group:graph-nodes","1.2074,1.2075,1.2102,1.2074,1.2075,1.2074,1.2075,1.2074,1.2075,1.2069,1.2069,1.2069,1.2069,1.2074,1.2075,1.2074,1.2075,1.2074,1.2075,1.2074,1.2075,1.2074,1.2075,1.2074,1.2075,1.2069,1.2069,1.2069,1.2069,1.2069,1.2075,1.2074,1.2075,1.2074,1.2075,1.2074,1.2075,1.2074,1.2075,1.2074,1.2075,1.2074,1.2069,1.2069,1.4974,1.2079,1.2075,1.2074,1.2075,1.2074,1.2075,1.2074,1.2075,1.2074,1.2075,1.2074,1.2075,1.2074,1.2069,1.2069,1.2069,1.2074,1.2075,1.2074,1.2075,1.2074,1.2075,1.2074,1.2075,1.2074,1.2075,1.2074,1.2074,1.2074,1.2069,1.2069,1.2069,1.2069,1.2069,1.2074,1.2074,1.2074,1.2074,1.2074,1.2074,1.2074,1.2074,1.2074,1.2074,1.5234,1.2074,1.2075,1.2074,1.2075,1.2069,1.2069,1.2074,1.2075,1.2074,1.2075"
benchmark intrusive graph dependency handling with N nodes - 10,creating nodes,100,636,2480400,39.3833,39.2203,39.7199,1.1479,0.6925,1.8003,"benchmark,group:graph-nodes","39.0016,39.0173,39.0016,39.2075,39.2374,39.2531,39.2531,39.2217,39.2390,38.8758,39.0016,39.1903,39.1289,39.0959,39.2531,39.2390,39.1274,45.4135,39.0016,39.0016,39.0173,39.0173,39.0016,39.0016,38.8758,39.0173,39.0016,39.0016,39.0173,39.0173,39.0016,38.8915,39.0016,39.0173,39.0173,39.0016,39.0173,39.0173,38.8915,39.0173,39.0173,39.0173,39.0016,39.0173,39.0173,38.8915,39.0173,39.0173,39.0330,39.0016,39.0173,39.0173,38.8915,39.0173,39.0173,39.0173,39.0016,45.8695,39.0016,39.0173,39.8538,39.9623,39.9623,39.9465,39.9465,39.9465,39.8050,38.9701,38.9387,39.8208,39.9465,39.4104,39.0330,39.0173,39.0645,39.8522,39.0802,39.7107,39.3789,39.0173,39.0173,39.0975,39.8365,39.9623,39.1761,39.6305,39.4748,39.0016,39.0173,38.9544,39.8836,39.1431,39.6792,39.4434,39.0173,39.2217,45.6824,39.0173,38.8915,39.0173"
benchmark intrusive graph dependency handling with N nodes - 10,creating and adding dependencies,100,104,2496000,232.3110,231.6427,233.9908,4.8067,0.6997,8.7132,"benchmark,group:graph-nodes","232.5385,232.3462,234.8462,232.5385,231.9615,231.3846,232.5385,230.8942,232.0577,232.3462,232.0577,231.6731,232.5385,232.1538,231.6731,232.4423,232.1442,231.4712,231.4808,266.9327,231.6731,232.0481,230.7981,232.6346,230.4231,232.2500,232.0481,231.8654,230.7115,232.8269,230.2212,231.2788,231.0000,231.9615,230.7981,232.2500,231.5769,231.9615,231.4808,231.5673,231.8558,230.9038,231.7692,230.7981,231.1923,231.8654,231.0962,232.4423,230.7019,230.9038,231.3846,232.8269,231.5673,231.1827,231.6731,231.3846,231.6731,231.0865,232.0577,231.2885,230.2212,264.2404,231.1827,231.3846,231.0000,230.9904,231.8558,230.7115,231.5769,232.4423,230.8942,230.9038,231.6731,231.7692,231.4712,231.1923,232.1538,232.0577,230.7115,230.7019,231.0962,231.3846,231.5673,232.6346,231.4808,231.0000,230.9904,231.3750,231.6731,232.5385,231.5769,231.2885,232.5288,231.9519,231.5769,231.9615,231.8654,230.7019,231.3750,232.3462"
benchmark intrusive graph dependency handling with N nodes - 10,adding and removing dependencies,100,121,2492600,191.9483,191.1074,194.0017,6.8926,3.7176,11.0938,"benchmark,group:graph-nodes","190.7603,190.7603,190.3471,190.5124,190.5868,190.5124,190.5950,190.5950,190.5124,190.5124,190.5868,232.9917,190.7603,190.8430,190.7603,190.7521,190.7521,190.7603,190.7603,190.7603,190.7603,190.7603,190.7603,190.7521,190.7521,190.7603,190.7603,190.7603,190.7603,190.7603,190.7603,190.7521,190.7521,190.7603,190.7603,190.7603,190.7603,190.7603,190.7603,190.7521,190.7521,190.7603,190.7603,190.7603,190.7603,190.7603,190.7603,190.7521,190.7521,190.7603,190.7603,190.7603,190.7603,190.7603,232.1570,190.8430,190.7603,190.7603,190.7603,190.7521,190.7521,190.7603,190.7603,190.7603,190.7603,190.7603,190.6777,190.7521,190.7521,190.7603,190.7603,190.7603,190.7603,190.7603,190.7603,190.7521,190.7521,190.7603,190.7603,190.7603,190.7603,190.7603,190.7603,190.7521,190.7521,190.7603,190.7603,190.7603,190.7603,190.7603,190.7603,190.7521,190.7521,190.7603,190.7603,190.7603,190.7603,228.0992,190.7603,190.7603"
benchmark intrusive graph dependency handling with N nodes - 10,checking for dependencies,100,1056,2428800,24.8488,24.7794,25.0128,0.5485,0.3058,0.8778,"benchmark,group:graph-nodes","24.6562,24.7699,24.8078,24.7604,28.0729,24.6373,24.7614,24.7604,24.7614,24.7708,24.7614,24.7699,24.7708,24.7708,24.7604,24.6383,24.7708,24.7604,24.7708,24.7708,24.7699,24.7708,24.7614,24.7708,24.7604,24.7424,24.6562,24.7708,24.7614,24.7604,24.7604,24.7614,24.7614,24.7699,24.7708,24.7614,24.6278,24.7708,24.7708,24.7604,24.7614,24.7708,27.9962,24.7614,24.7699,24.7708,24.7708,24.6373,24.7614,24.7614,24.7699,24.7708,24.7614,24.7699,24.7699,24.7708,24.7708,24.6941,24.6856,24.7604,24.7614,24.7708,24.7708,24.7699,24.7708,24.7614,24.7604,24.7614,24.6383,24.7699,24.7614,24.7614,24.7604,24.7708,24.7708,24.7699,24.7699,24.7614,24.6373,24.7708,27.8068,24.7614,24.7699,24.7708,24.7614,24.7604,24.7614,24.7614,24.7708,24.6373,24.7614,24.7604,24.7614,24.7614,24.7604,24.7699,24.7708,24.7708,24.7699,24.7330"
benchmark intrusive graph dependency handling with N nodes - 100,creating nodes,100,73,2511200,458.2726,441.3437,477.7756,92.8136,82.2683,103.4043,"benchmark,group:graph-nodes","602.0685,599.3288,401.6849,401.9726,394.1507,451.7808,399.2192,397.9863,397.9863,399.5068,399.6301,399.6438,396.3425,398.9452,399.6301,399.5068,397.8493,397.4384,397.3014,397.3014,398.9589,399.4932,397.7123,398.9589,399.6301,400.8767,399.7671,400.8767,399.9041,399.5068,400.8630,398.3973,397.3014,397.9863,397.1644,399.2192,397.8493,399.3562,399.6301,459.3425,401.1507,400.1781,394.2877,393.7397,401.6849,394.1507,399.7671,399.9178,399.6301,400.3288,399.6301,400.0548,401.1370,399.7808,400.3151,399.6438,399.3562,399.6438,400.1781,401.4247,400.0411,400.3288,400.1781,399.9041,399.4932,400.0548,400.3151,400.1918,400.1781,399.7671,399.7671,399.7808,399.9041,456.8767,519.0411,707.4795,597.0000,602.6164,596.0411,601.5205,601.2603,601.7945,599.6027,597.4110,603.1781,598.2329,600.9726,598.9178,603.0411,598.9178,601.5205,596.4521,601.9315,597.5342,602.9041,598.0959,687.0274,598.7808,602.2192,598.9178"
benchmark intrusive graph dependency handling with N nodes - 100,creating and adding dependencies,100,6,2564400,4191.0733,4174.4067,4229.0850,124.0196,60.6919,204.6976,"benchmark,group:graph-nodes","4170.8333,4180.8333,4252.6667,4162.6667,4159.1667,4176.0000,4184.1667,4174.1667,4192.6667,4169.1667,4159.1667,4137.5000,4156.0000,4175.8333,4962.5000,4155.8333,4167.6667,4170.8333,4177.6667,4174.3333,4144.1667,4187.6667,4174.1667,4182.6667,4181.0000,4172.5000,4176.0000,4154.1667,4177.6667,4147.5000,4166.0000,4174.1667,4182.6667,4177.6667,4155.8333,4139.1667,4186.0000,4182.6667,4185.8333,4191.0000,4187.6667,4179.3333,4170.8333,4184.3333,4176.0000,4160.8333,4169.3333,4165.8333,4161.0000,4132.5000,4162.5000,4159.3333,4149.1667,4154.1667,4755.5000,4137.5000,4150.8333,4135.8333,4164.3333,4180.8333,4174.1667,4164.3333,4174.1667,4184.3333,4162.5000,4142.5000,4194.3333,4175.8333,4194.3333,4182.6667,4170.8333,4154.3333,4140.8333,4172.5000,4189.1667,4192.6667,4179.3333,4154.1667,4167.6667,4167.5000,4157.6667,4157.5000,4169.3333,4184.1667,4167.6667,4160.8333,4199.3333,4144.3333,4174.1667,4196.0000,4192.6667,4182.6667,4182.5000,4166.0000,4932.3333,4135.8333,4154.3333,4149.1667,4167.5000,4159.3333"
benchmark intrusive graph dependency handling with N nodes - 100,adding and removing dependencies,100,6,2790000,4561.6483,4547.4167,4596.1967,109.4986,59.1267,180.8167,"benchmark,group:graph-nodes","4538.1667,4553.3333,4554.8333,4533.3333,4540.0000,4536.6667,4538.1667,4541.6667,4538.3333,4551.6667,4553.3333,4521.5000,4538.3333,4560.0000,4545.0000,4546.6667,4548.3333,4533.1667,4536.6667,4530.0000,4534.8333,4533.3333,4530.0000,5126.0000,4533.3333,4555.0000,4556.6667,4555.0000,4553.3333,4534.8333,4535.0000,4528.3333,4545.0000,4536.5000,4540.0000,4538.3333,4521.5000,4536.6667,4543.3333,4550.0000,4531.5000,4544.8333,4551.6667,4530.0000,4536.6667,4529.8333,4540.0000,4536.6667,4529.8333,4535.0000,4520.0000,4531.5000,4541.6667,4543.3333,4528.3333,4533.1667,4548.3333,4538.3333,4545.0000,4528.1667,5131.1667,4543.3333,4551.6667,4568.3333,4571.6667,4556.6667,4543.3333,4551.5000,4544.8333,4543.3333,4551.6667,4540.0000,4563.3333,4561.6667,4546.6667,4541.6667,4534.8333,4523.3333,4558.3333,4535.0000,4549.8333,4556.6667,4551.6667,4516.6667,4565.0000,4526.5000,4533.3333,4548.3333,4543.3333,4553.3333,4556.6667,4555.0000,4570.0000,4548.3333,4543.1667,4545.0000,5274.6667,4530.0000,4548.3333,4536.6667"
benchmark intrusive graph dependency handling with N nodes - 100,checking for dependencies,100,13,2540200,1955.2977,1948.6969,1970.9523,52.0511,29.3121,83.9358,"benchmark,group:graph-nodes","1938.9231,1948.1538,1949.6923,1952.0000,1950.4615,1942.7692,1947.3846,1946.6154,1947.4615,1944.3077,1933.4615,1948.2308,1945.8462,1944.3077,1947.3846,1946.6154,1945.0769,2237.9231,1948.1538,1933.5385,1944.3077,1945.8462,1945.0769,1945.0769,1946.6923,1952.7692,1954.3077,1939.6923,1948.9231,1948.1538,1948.1538,1948.1538,1947.3846,1945.8462,1942.0000,1943.5385,1950.4615,1948.9231,1948.1538,1946.6154,1947.3846,1945.0769,1936.6154,1947.3846,1946.6154,1950.4615,1948.9231,1948.1538,1950.4615,1947.3846,1935.7692,1947.4615,1949.6923,1945.8462,1948.1538,1949.6923,2244.9231,1950.4615,1947.3846,1935.8462,1950.4615,1948.9231,1951.2308,1945.8462,1946.6154,1946.6154,1945.0769,1939.6923,1942.0000,1947.3846,1944.3077,1944.3077,1947.3846,1948.1538,1946.6154,1937.3846,1946.6154,1941.2308,1943.5385,1938.9231,1947.3846,1946.6154,1942.0000,1937.3846,1946.6154,1947.3846,1948.1538,1947.4615,1950.4615,1948.9231,1948.1538,1937.3846,1950.4615,1945.8462,1947.3846,2267.2308,1950.5385,1957.3846,1951.2308,1947.3846"
benchmark task handling,generating and deleting tasks,100,1,414490900,4183488.5400,4147483.4300,4202861.3800,131760.7610,76744.3611,193238.9713,"benchmark,group:task-graph","4221343.0000,4208289.0000,3578153.0000,3573024.0000,3576450.0000,3558376.0000,3810704.0000,4201707.0000,4198600.0000,4209591.0000,4207357.0000,4195575.0000,4193942.0000,4201856.0000,4206436.0000,4205994.0000,4198029.0000,4205934.0000,4189052.0000,4216605.0000,4201916.0000,4194192.0000,4194432.0000,4192008.0000,4195134.0000,4190725.0000,4190065.0000,4196506.0000,4198420.0000,4212537.0000,4210603.0000,4198300.0000,4204662.0000,4207948.0000,4194773.0000,4202678.0000,4198731.0000,4207337.0000,4205463.0000,4242643.0000,4214931.0000,4200855.0000,4201225.0000,4222105.0000,4212116.0000,4205043.0000,4207507.0000,4212978.0000,4217817.0000,4215061.0000,4218799.0000,4210012.0000,4217927.0000,4218679.0000,4216614.0000,4216254.0000,4206195.0000,4217536.0000,4213127.0000,4207567.0000,4207327.0000,4267922.0000,4229890.0000,4227745.0000,4214020.0000,4220141.0000,4218699.0000,4226784.0000,4214520.0000,4218679.0000,4221484.0000,4219419.0000,4215322.0000,4216003.0000,4212417.0000,4222616.0000,4217726.0000,4226443.0000,4217526.0000,4217807.0000,4224850.0000,4226544.0000,4235690.0000,4223999.0000,4227685.0000,4224108.0000,4215363.0000,4218538.0000,4225070.0000,4223468.0000,4227155.0000,4225010.0000,4215042.0000,4225892.0000,4229799.0000,4223197.0000,4224639.0000,4211495.0000,4222345.0000,4218037.0000"
generating large task graphs,soup topology,100,1,83552800,839874.9400,839151.4200,840720.1800,3982.8692,3313.6969,5489.4968,"benchmark,group:task-graph","836565.0000,839630.0000,843107.0000,841424.0000,840832.0000,843587.0000,836945.0000,845491.0000,842025.0000,842626.0000,843819.0000,841293.0000,836744.0000,844089.0000,837296.0000,839150.0000,839730.0000,840301.0000,841294.0000,834400.0000,839230.0000,839961.0000,841554.0000,841705.0000,840682.0000,835372.0000,842305.0000,846644.0000,842345.0000,839830.0000,841184.0000,835071.0000,842295.0000,841093.0000,843077.0000,836374.0000,840401.0000,834460.0000,837366.0000,842155.0000,843187.0000,838899.0000,841003.0000,841394.0000,833018.0000,838087.0000,840602.0000,842206.0000,839400.0000,837687.0000,834270.0000,838238.0000,835051.0000,838738.0000,839420.0000,836505.0000,831485.0000,838759.0000,841193.0000,838799.0000,836094.0000,841424.0000,833829.0000,838508.0000,838950.0000,839620.0000,839741.0000,838027.0000,833659.0000,837847.0000,845582.0000,846323.0000,847385.0000,846733.0000,848327.0000,843127.0000,849448.0000,840452.0000,837897.0000,836845.0000,838598.0000,832718.0000,839089.0000,838559.0000,837015.0000,835322.0000,839531.0000,834150.0000,836624.0000,839920.0000,837285.0000,837937.0000,841844.0000,835061.0000,858857.0000,840723.0000,842886.0000,841815.0000,838278.0000,840071.0000"
generating large task graphs,chain topology,100,1,3057200,30523.0000,30416.4700,30751.6800,760.9848,434.9498,1199.9207,"benchmark,group:task-graph","30455.0000,30355.0000,32179.0000,30757.0000,30716.0000,30767.0000,30666.0000,30245.0000,30436.0000,30436.0000,30356.0000,30315.0000,30376.0000,30376.0000,30285.0000,34594.0000,30436.0000,30336.0000,30255.0000,30386.0000,30375.0000,30345.0000,30306.0000,30305.0000,30336.0000,30346.0000,30205.0000,30265.0000,30325.0000,30346.0000,30295.0000,30316.0000,30175.0000,30336.0000,30356.0000,30325.0000,30356.0000,30376.0000,30315.0000,30366.0000,30486.0000,30416.0000,30265.0000,30426.0000,30376.0000,30355.0000,30396.0000,30446.0000,34654.0000,30336.0000,30375.0000,30386.0000,30346.0000,30435.0000,30335.0000,30356.0000,30416.0000,30365.0000,30396.0000,30336.0000,30275.0000,30396.0000,30316.0000,30295.0000,30356.0000,30376.0000,30355.0000,30386.0000,30336.0000,30405.0000,30396.0000,30416.0000,30406.0000,30335.0000,30376.0000,30416.0000,30376.0000,30445.0000,30365.0000,30396.0000,30285.0000,34834.0000,30425.0000,30405.0000,30266.0000,30396.0000,30355.0000,30376.0000,30406.0000,30425.0000,30385.0000,30376.0000,30336.0000,30435.0000,30285.0000,30316.0000,30536.0000,30455.0000,30265.0000,30316.0000"
generating large task graphs,expanding tree topology,100,1,5384500,53963.8900,53794.2000,54248.5400,1100.3807,722.2980,1518.0435,"benchmark,group:task-graph","53639.0000,53670.0000,57497.0000,54752.0000,54021.0000,54021.0000,53740.0000,53459.0000,54001.0000,54121.0000,53740.0000,53830.0000,53580.0000,58268.0000,53981.0000,53770.0000,54000.0000,53629.0000,53520.0000,53409.0000,53870.0000,53870.0000,53690.0000,53810.0000,53440.0000,53600.0000,53880.0000,53640.0000,53299.0000,53780.0000,53480.0000,58008.0000,54381.0000,53700.0000,53971.0000,53469.0000,53469.0000,53359.0000,53770.0000,53820.0000,53770.0000,53760.0000,53409.0000,53389.0000,53690.0000,53690.0000,53800.0000,53510.0000,53329.0000,53600.0000,58809.0000,53930.0000,53900.0000,53891.0000,53479.0000,53400.0000,53770.0000,53509.0000,53500.0000,53660.0000,53480.0000,53639.0000,53900.0000,53610.0000,53670.0000,53720.0000,53419.0000,53490.0000,58038.0000,54081.0000,53599.0000,53780.0000,53549.0000,53340.0000,53780.0000,53850.0000,53680.0000,53790.0000,53279.0000,53509.0000,54021.0000,53780.0000,53700.0000,53680.0000,53239.0000,53600.0000,53910.0000,58559.0000,53971.0000,53680.0000,53770.0000,53239.0000,53951.0000,53930.0000,53560.0000,53830.0000,53419.0000,53499.0000,53470.0000,53629.0000"
generating large task graphs,contracting tree topology,100,1,7542900,75669.2600,75436.0300,76023.7000,1443.4827,1037.7382,1873.9815,"benchmark,group:task-graph","75040.0000,75261.0000,78697.0000,75442.0000,76042.0000,75371.0000,75642.0000,80060.0000,75681.0000,75421.0000,75721.0000,75301.0000,75161.0000,75191.0000,75481.0000,75351.0000,75181.0000,75271.0000,74940.0000,75301.0000,80581.0000,74870.0000,75261.0000,75121.0000,75240.0000,75060.0000,75261.0000,75271.0000,75241.0000,75110.0000,75221.0000,75301.0000,75612.0000,79869.0000,75321.0000,75201.0000,75191.0000,75200.0000,75661.0000,74760.0000,75241.0000,75141.0000,74860.0000,75401.0000,74910.0000,75141.0000,81232.0000,75080.0000,75110.0000,75141.0000,75681.0000,75080.0000,75291.0000,75050.0000,75051.0000,75110.0000,75361.0000,75010.0000,75331.0000,80611.0000,75191.0000,75080.0000,75351.0000,75001.0000,75441.0000,75091.0000,75331.0000,75090.0000,75542.0000,75140.0000,75451.0000,75060.0000,74990.0000,80732.0000,75461.0000,75040.0000,75592.0000,75151.0000,75341.0000,74820.0000,74860.0000,74960.0000,75191.0000,75241.0000,74920.0000,75391.0000,80160.0000,75201.0000,75521.0000,75120.0000,75000.0000,75140.0000,75171.0000,75150.0000,75531.0000,74960.0000,75021.0000,74850.0000,75451.0000,79449.0000"
generating large task graphs,wave_sim topology,100,1,33023000,330572.1200,329904.6500,331867.3000,4561.2733,2740.1586,8260.2866,"benchmark,group:task-graph","327579.0000,333300.0000,363006.0000,339301.0000,334402.0000,329072.0000,328340.0000,333921.0000,328411.0000,328240.0000,333901.0000,328341.0000,328290.0000,333281.0000,328451.0000,328330.0000,333511.0000,328170.0000,327519.0000,333090.0000,327980.0000,328831.0000,333159.0000,328611.0000,327679.0000,333651.0000,328481.0000,327780.0000,333150.0000,328842.0000,327920.0000,332509.0000,328150.0000,328942.0000,333270.0000,328121.0000,328040.0000,349421.0000,328471.0000,328160.0000,333431.0000,328270.0000,328141.0000,333250.0000,328421.0000,328231.0000,333159.0000,328420.0000,327909.0000,332779.0000,328791.0000,328320.0000,333230.0000,328431.0000,328271.0000,332950.0000,327930.0000,327910.0000,332408.0000,328672.0000,328100.0000,332278.0000,329082.0000,328701.0000,327679.0000,332869.0000,327860.0000,328150.0000,333361.0000,328471.0000,328411.0000,333681.0000,328461.0000,328621.0000,333140.0000,328411.0000,328100.0000,334052.0000,328361.0000,327880.0000,332959.0000,328091.0000,328010.0000,332859.0000,328622.0000,327900.0000,333019.0000,328291.0000,328481.0000,334503.0000,328110.0000,327860.0000,333951.0000,328722.0000,328651.0000,333491.0000,328461.0000,328982.0000,333911.0000,328121.0000"
generating large task graphs,jacobi topology,100,1,9958200,101041.5500,100786.5700,101408.7200,1541.3914,1158.2501,1920.7566,"benchmark,group:task-graph","100509.0000,100538.0000,104487.0000,100649.0000,100759.0000,100368.0000,100870.0000,100819.0000,100819.0000,100739.0000,104907.0000,100378.0000,100829.0000,100519.0000,100719.0000,100489.0000,100519.0000,100348.0000,100278.0000,100489.0000,104867.0000,100599.0000,100499.0000,100659.0000,100248.0000,100519.0000,100569.0000,100308.0000,100719.0000,100609.0000,105849.0000,100489.0000,100228.0000,100398.0000,100249.0000,100398.0000,100389.0000,100528.0000,100409.0000,100589.0000,106009.0000,100499.0000,100298.0000,100418.0000,100749.0000,100398.0000,100258.0000,100468.0000,100529.0000,100859.0000,105749.0000,100789.0000,100669.0000,100649.0000,100669.0000,100409.0000,100348.0000,100559.0000,100549.0000,100478.0000,105558.0000,100719.0000,100058.0000,100378.0000,100449.0000,100609.0000,100298.0000,100479.0000,100438.0000,100689.0000,105569.0000,100498.0000,100328.0000,100458.0000,100168.0000,100378.0000,100348.0000,100668.0000,100298.0000,100579.0000,105428.0000,100549.0000,100398.0000,100589.0000,100789.0000,100639.0000,100349.0000,100669.0000,100549.0000,105387.0000,100378.0000,100228.0000,100589.0000,100479.0000,100549.0000,100128.0000,100498.0000,100559.0000,100539.0000,105388.0000"
generating large command graphs for N nodes - 1,soup topology,100,1,157099200,1590675.3400,1579697.3000,1624584.3800,88143.5290,31946.9896,189295.6295,"benchmark,group:command-graph","1570967.0000,1580906.0000,1573492.0000,1576919.0000,1567020.0000,1578652.0000,1579894.0000,1574514.0000,1579193.0000,1578171.0000,1575356.0000,1573271.0000,1572369.0000,1574113.0000,1568903.0000,1584813.0000,1571849.0000,1578472.0000,1574945.0000,1579233.0000,1579153.0000,1578551.0000,1582208.0000,1577370.0000,1577409.0000,1583971.0000,1575155.0000,1579193.0000,1588581.0000,1579112.0000,1569033.0000,1580576.0000,1576117.0000,1576488.0000,1581367.0000,1569344.0000,1576358.0000,1568984.0000,1576628.0000,1584222.0000,1572100.0000,1582760.0000,1577519.0000,1579583.0000,1570116.0000,1584643.0000,1581478.0000,1578371.0000,1584884.0000,1575085.0000,1580085.0000,1580395.0000,1572230.0000,1586056.0000,1576217.0000,1585485.0000,1576238.0000,1575476.0000,1579403.0000,1578261.0000,1578732.0000,1574695.0000,1580145.0000,1572630.0000,1575586.0000,1580305.0000,1566639.0000,1585044.0000,1575746.0000,1587789.0000,1585995.0000,1574664.0000,1583661.0000,1838134.0000,2366977.0000,1893840.0000,1572500.0000,1584083.0000,1574293.0000,1579003.0000,1574865.0000,1572530.0000,1574735.0000,1564405.0000,1577690.0000,1581497.0000,1567240.0000,1580555.0000,1570497.0000,1577379.0000,1567341.0000,1595864.0000,1571929.0000,1571368.0000,1574053.0000,1570827.0000,1577931.0000,1564595.0000,1576378.0000,1576137.0000"
generating large command graphs for N nodes - 1,chain topology,100,1,8549400,85770.6200,85521.2100,86136.4300,1523.9701,1129.4956,1930.4611,"benchmark,group:command-graph","85390.0000,90770.0000,90190.0000,86161.0000,85581.0000,85360.0000,85410.0000,85470.0000,91241.0000,85410.0000,85641.0000,85250.0000,85009.0000,84989.0000,85300.0000,84929.0000,85129.0000,85160.0000,84769.0000,84909.0000,90570.0000,84989.0000,85009.0000,84879.0000,85219.0000,85210.0000,85280.0000,85169.0000,85199.0000,85040.0000,85410.0000,89728.0000,85821.0000,85100.0000,85229.0000,85350.0000,85160.0000,85250.0000,84889.0000,85099.0000,85149.0000,85230.0000,85150.0000,90119.0000,85841.0000,85179.0000,85641.0000,85069.0000,85220.0000,85230.0000,85270.0000,85109.0000,85400.0000,85360.0000,85240.0000,90239.0000,85551.0000,85360.0000,85500.0000,85250.0000,85320.0000,85440.0000,85210.0000,85260.0000,85320.0000,85430.0000,90099.0000,85710.0000,85660.0000,85510.0000,85481.0000,85189.0000,85240.0000,85220.0000,85280.0000,85129.0000,84869.0000,84910.0000,89447.0000,85511.0000,85500.0000,85220.0000,85490.0000,85130.0000,84979.0000,85190.0000,85319.0000,85299.0000,85289.0000,85220.0000,90309.0000,85380.0000,85590.0000,85180.0000,85370.0000,85179.0000,85000.0000,85250.0000,85149.0000,85009.0000"
